Time_ns,In_L,In_R,Out_L,Out_R,Valid_Out
2285,-28531,-24270,-25329,-26289,1
2295,-29468,-23115,-27144,-25329,1
2305,-29940,-21869,-28531,-24270,1
2315,-29940,-20536,-29468,-23115,1
2325,-29468,-19122,-29940,-21869,1
2335,-28531,-17633,-29940,-20536,1
2345,-27144,-16074,-29468,-19122,1
2355,-25329,-14452,-28531,-17633,1
2365,-23115,-12773,-27144,-16074,1
2375,-20536,-11043,-25329,-14452,1
2385,-17633,-9270,-23115,-12773,1
2395,-14452,-7460,-20536,-11043,1
2405,-11043,-5621,-17633,-9270,1
2415,-7460,-3759,-14452,-7460,1
2425,-3759,-1883,-11043,-5621,1
2435,0,0,-7460,-3759,1
2445,3759,1883,-3759,-1883,1
2455,7460,3759,0,0,1
2465,11043,5621,3759,1883,1
2475,14452,7460,7460,3759,1
2485,17633,9270,11043,5621,1
2495,20536,11043,14452,7460,1
2505,23115,12773,17633,9270,1
2515,25329,14452,20536,11043,1
2525,27144,16074,23115,12773,1
2535,28531,17633,25329,14452,1
2545,29468,19122,27144,16074,1
2555,29940,20536,28531,17633,1
2565,29940,21869,29468,19122,1
2575,29468,23115,29940,20536,1
2585,28531,24270,29940,21869,1
2595,27144,25329,29468,23115,1
2605,25329,26289,28531,24270,1
2615,23115,27144,27144,25329,1
2625,20536,27893,25329,26289,1
2635,17633,28531,23115,27144,1
2645,14452,29057,20536,27893,1
2655,11043,29468,17633,28531,1
2665,7460,29763,14452,29057,1
2675,3759,29940,11043,29468,1
2685,0,29999,7460,29763,1
2695,-3759,29940,3759,29940,1
2705,-7460,29763,0,30000,1
2715,-11043,29468,-3759,29940,1
2725,-14452,29057,-7460,29763,1
2735,-17633,28531,-11043,29468,1
2745,-20536,27893,-14452,29057,1
2755,-23115,27144,-17633,28531,1
2765,-25329,26289,-20536,27893,1
2775,-27144,25329,-23115,27144,1
2785,-28531,24270,-25329,26289,1
2795,-29468,23115,-27144,25329,1
2805,-29940,21869,-28531,24270,1
2815,-29940,20536,-29468,23115,1
2825,-29468,19122,-29940,21869,1
2835,-28531,17633,-29940,20536,1
2845,-27144,16074,-29468,19122,1
2855,-25329,14452,-28531,17633,1
2865,-23115,12773,-27144,16074,1
2875,-20536,11043,-25329,14452,1
2885,-17633,9270,-23115,12773,1
2895,-14452,7460,-20536,11043,1
2905,-11043,5621,-17633,9270,1
2915,-7460,3759,-14452,7460,1
2925,-3759,1883,-11043,5621,1
2935,0,0,-7460,3759,1
2945,3759,-1883,-3759,1883,1
2955,7460,-3759,0,0,1
2965,11043,-5621,3759,-1883,1
2975,14452,-7460,7460,-3759,1
2985,17633,-9270,11043,-5621,1
2995,20536,-11043,14452,-7460,1
3005,23115,-12773,17633,-9270,1
3015,25329,-14452,20536,-11043,1
3025,27144,-16074,23115,-12773,1
3035,28531,-17633,25329,-14452,1
3045,29468,-19122,27144,-16074,1
3055,29940,-20536,28531,-17633,1
3065,29940,-21869,29468,-19122,1
3075,29468,-23115,29940,-20536,1
3085,28531,-24270,29940,-21869,1
3095,27144,-25329,29468,-23115,1
3105,25329,-26289,28531,-24270,1
3115,23115,-27144,27144,-25329,1
3125,20536,-27893,25329,-26289,1
3135,17633,-28531,23115,-27144,1
